ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min)
0x4607 ,INDORES13DEL02 ,37,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,11:30:00,11:45:00,conditions Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,(min) 24
0xb379 ,BANGRES18DEL02 ,34,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,19:45:00,19:50:00,conditions Stormy,Jam ,2,Snack ,scooter ,1,No ,Metropolitian ,(min) 33
0x5d6d ,BANGRES19DEL01 ,23,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,08:30:00,08:45:00,conditions Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 26
0x7a6a ,COIMBRES13DEL02 ,38,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,18:00:00,18:10:00,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 21
0x70a2 ,CHENRES12DEL01 ,32,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,13:30:00,13:45:00,conditions Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 30
0x9bb4 ,HYDRES09DEL03 ,22,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,21:20:00,21:30:00,conditions Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,(min) 26
0x95b4 ,RANCHIRES15DEL01 ,33,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,19:15:00,19:30:00,conditions Fog,Jam ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 40
0x9eb2 ,MYSRES15DEL02 ,35,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,17:25:00,17:30:00,conditions Cloudy,Medium ,2,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 32
0x1102 ,HYDRES05DEL02 ,22,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,20:55:00,21:05:00,conditions Stormy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34
0xcdcd ,DEHRES17DEL01 ,36,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55:00,22:10:00,conditions Fog,Jam ,2,Snack ,motorcycle ,3,No ,Metropolitian ,(min) 46
0xd987 ,KOCRES16DEL01 ,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55:00,15:05:00,conditions Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,(min) 23
0x2784 ,PUNERES13DEL03 ,23,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30:00,17:40:00,conditions Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,(min) 21
0xc8b6 ,LUDHRES15DEL02 ,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20:00,09:30:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,(min) 20
0xdb64 ,KNPRES14DEL02 ,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50:00,20:05:00,conditions Fog,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,(min) 41
0x3af3 ,MUMRES15DEL03 ,29,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25:00,20:35:00,conditions Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,(min) 20
0x3aab ,MYSRES01DEL01 ,35,4,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55:00,15:10:00,conditions Windy,High ,1,Meal ,scooter ,1,No ,Metropolitian ,(min) 33
0x689b ,PUNERES20DEL01 ,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30:00,20:40:00,conditions Sandstorms,Jam ,2,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 40
0x6f67 ,HYDRES14DEL01 ,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40:00,20:50:00,conditions Cloudy,Jam ,0,Snack ,motorcycle ,NaN ,No ,Metropolitian ,(min) 41
0xc9cf ,KOLRES15DEL03 ,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15:00,21:30:00,conditions Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,(min) 15
0x36b8 ,PUNERES19DEL02 ,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20:00,20:25:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle ,2,No ,Metropolitian ,(min) 36
0x5795 ,RANCHIRES06DEL02 ,31,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30:00,22:45:00,conditions Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,(min) 26
0x6c6b ,COIMBRES13DEL01 ,37,5,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15:00,08:30:00,conditions Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 20
0xb816 ,CHENRES19DEL02 ,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30:00,19:45:00,conditions Windy,Jam ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 39
0x539b ,MUMRES02DEL01 ,25,4,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25:00,12:30:00,conditions Cloudy,High ,1,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 34
0xa1b2 ,CHENRES01DEL01 ,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35:00,18:50:00,conditions Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,(min) 15
0x3231 ,JAPRES16DEL03 ,27,5,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35:00,20:40:00,conditions Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,(min) 18
0x8bc0 ,SURRES15DEL03 ,35,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20:00,23:30:00,conditions Cloudy,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,(min) 38
0x2288 ,BANGRES09DEL03 ,32,4,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20:00,21:35:00,conditions Windy,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,(min) 47
0x3c5e ,PUNERES04DEL01 ,23,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35:00,23:45:00,conditions Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,(min) 12
0x3e60 ,COIMBRES02DEL03 ,31,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35:00,22:50:00,conditions Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,(min) 26
0xbff ,SURRES16DEL02 ,36,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35:00,22:40:00,conditions Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,(min) 22
0xd936 ,GOARES15DEL02 ,26,4.3,15.51315,73.78346,15.56315,73.83346,11-02-2022,23:25:00,23:35:00,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,(min) 21
0xd681 ,GOARES07DEL01 ,38,4.9,15.561295,73.749478,15.601295,73.789478,11-02-2022,13:35:00,13:40:00,conditions Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,(min) 25
0x2876 ,RANCHIRES02DEL01 ,32,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35:00,21:45:00,conditions Stormy,Jam ,1,Snack ,scooter ,0,No ,Urban ,(min) 35
0x30c8 ,PUNERES19DEL02 ,32,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35:00,22:45:00,conditions Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,(min) 30
0xb843 ,PUNERES02DEL01 ,33,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55:00,19:10:00,conditions Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 22
0xb3a0 ,PUNERES18DEL01 ,20,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15:00,14:25:00,conditions Windy,High ,1,Snack ,scooter ,0,No ,Urban ,(min) 10
0x6531 ,SURRES08DEL01 ,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,11:00:00,11:10:00,conditions Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,(min) 19
0x4bda ,HYDRES17DEL02 ,35,5,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45:00,09:55:00,conditions Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,(min) 11
0x9d26 ,BANGRES17DEL02 ,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40:00,08:55:00,conditions Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,(min) 11
0x9b18 ,BANGRES17DEL01 ,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,23:00:00,23:10:00,conditions Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 28
0x5d99 ,CHENRES11DEL01 ,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25:00,17:30:00,conditions Cloudy,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,(min) 33
